"activity"	"subject"	"tbodyaccmeanx"	"tbodyaccmeany"	"tbodyaccmeanz"	"tbodyaccstdx"	"tbodyaccstdy"	"tbodyaccstdz"	"tgravityaccmeanx"	"tgravityaccmeany"	"tgravityaccmeanz"	"tgravityaccstdx"	"tgravityaccstdy"	"tgravityaccstdz"	"tbodyaccjerkmeanx"	"tbodyaccjerkmeany"	"tbodyaccjerkmeanz"	"tbodyaccjerkstdx"	"tbodyaccjerkstdy"	"tbodyaccjerkstdz"	"tbodygyromeanx"	"tbodygyromeany"	"tbodygyromeanz"	"tbodygyrostdx"	"tbodygyrostdy"	"tbodygyrostdz"	"tbodygyrojerkmeanx"	"tbodygyrojerkmeany"	"tbodygyrojerkmeanz"	"tbodygyrojerkstdx"	"tbodygyrojerkstdy"	"tbodygyrojerkstdz"	"tbodyaccmagmean"	"tbodyaccmagstd"	"tgravityaccmagmean"	"tgravityaccmagstd"	"tbodyaccjerkmagmean"	"tbodyaccjerkmagstd"	"tbodygyromagmean"	"tbodygyromagstd"	"tbodygyrojerkmagmean"	"tbodygyrojerkmagstd"	"fbodyaccmeanx"	"fbodyaccmeany"	"fbodyaccmeanz"	"fbodyaccstdx"	"fbodyaccstdy"	"fbodyaccstdz"	"fbodyaccmeanfreqx"	"fbodyaccmeanfreqy"	"fbodyaccmeanfreqz"	"fbodyaccjerkmeanx"	"fbodyaccjerkmeany"	"fbodyaccjerkmeanz"	"fbodyaccjerkstdx"	"fbodyaccjerkstdy"	"fbodyaccjerkstdz"	"fbodyaccjerkmeanfreqx"	"fbodyaccjerkmeanfreqy"	"fbodyaccjerkmeanfreqz"	"fbodygyromeanx"	"fbodygyromeany"	"fbodygyromeanz"	"fbodygyrostdx"	"fbodygyrostdy"	"fbodygyrostdz"	"fbodygyromeanfreqx"	"fbodygyromeanfreqy"	"fbodygyromeanfreqz"	"fbodyaccmagmean"	"fbodyaccmagstd"	"fbodyaccmagmeanfreq"	"fbodybodyaccjerkmagmean"	"fbodybodyaccjerkmagstd"	"fbodybodyaccjerkmagmeanfreq"	"fbodybodygyromagmean"	"fbodybodygyromagstd"	"fbodybodygyromagmeanfreq"	"fbodybodygyrojerkmagmean"	"fbodybodygyrojerkmagstd"	"fbodybodygyrojerkmagmeanfreq"	"angletbodyaccmean,gravity"	"angletbodyaccjerkmean,gravitymean"	"angletbodygyromean,gravitymean"	"angletbodygyrojerkmean,gravitymean"	"anglex,gravitymean"	"angley,gravitymean"	"anglez,gravitymean"
"1"	"LAYING"	"1"	0.22159824394	-0.0405139534294	-0.11320355358	-0.9280564692	-0.83682740562	-0.826061401628	-0.9321111728	-0.84091058864	-0.82176998216	-0.9062060304	-0.50155399396	-0.702558042	0.74306899108	0.5848976723	0.75773578404	-0.842018280168	-0.9835018098	-0.948096523348	-0.9051667964	-0.9398550146	-0.87720402952	-0.82321252682	-0.372230682194	-0.49116701316	-0.40198004578	0.042987845004	0.005230114486	-0.0323307491374	0.14656522416	0.17603638864	-0.104318251058	0.1841656711	0.01050049128	0.209115341935	-0.121908135732	0.09054431328	0.002393975758	-0.0408910604706	-0.0093252039692	-0.023365945138	-0.24888179828	0.70554977346	0.4458177198	-0.8968300184	-0.90772000676	-0.85236629022	-0.899296135	-0.90993878264	-0.85496697974	-0.28037369606	0.6851134531	0.4693929762	-0.236157682494	0.6921133129	0.4138740328	0.24817268954	-0.9074593992	0.164573517502	-0.31990904246	-0.9063836258	-0.91562685234	-0.86254660074	-0.517831684132	-0.55439837582	-0.580145994642	-0.5936727904	0.6091290172	-0.6245765304	0.6401484404	-0.385390085586	0.350315681568	-0.355578328832	0.37825803756	-0.542024096944	0.556812091134	-0.571246185672	0.58256298342	-0.08459195868	-0.07809749428	-0.20911768088	0.0810865342	0.0038382040088	0.010834236361	-0.958482112	-0.9241492736	-0.9548551108
"2"	"SITTING"	"1"	0.261237565425532	-0.00130828765170213	-0.104544182255319	-0.977229008297872	-0.922618641914894	-0.93958629106383	-0.979514584468085	-0.919658954042553	-0.938834141702128	-0.927478156170213	-0.51735077593617	-0.786367285319149	0.820265045957447	0.682775776170213	0.822189592553191	-0.945740773404255	-0.997501779361702	-0.989863580425532	-0.986834701276596	-0.983227877659574	-0.932031700638298	-0.942854698510638	-0.594065364617021	-0.39939032487234	-0.521304053	0.152455853085106	-0.0594168140489362	0.0410396568	-0.00412059408510638	0.1686773395	-0.129112633042553	0.185128001391489	-0.116976239070213	0.258878962361702	-0.117149009078511	0.0850768219944681	-0.0227195913574468	-0.402862625829787	-0.201194422908511	0.118261863640426	0.831509933404255	0.204411592680851	0.332043702765957	-0.968457145744681	-0.935517055957447	-0.949040933191489	-0.969340963829787	-0.93768045893617	-0.950070108510638	0.76845271893617	0.188173388702128	0.331910236382979	0.843385717021277	0.205339023787234	0.321842866808511	0.225336937808511	0.574696193021277	-0.879533994893617	-0.779082066170213	-0.971931619574468	-0.943735509574468	-0.95370402787234	-0.686008594704255	-0.489424264738298	-0.626438336276596	-0.530311369553191	0.542945451276596	-0.555471943829787	0.568020149361702	-0.461273986389362	0.414006838514894	-0.401079185042553	0.403734667425532	-0.4490019039	0.466639344	-0.483987104191489	0.498420170510638	-0.739178269361702	-0.497453950340426	0.301419345319149	0.0774825199574468	-0.000619102785106384	-0.00336779235021277	-0.986430711276596	-0.981371965319149	-0.987910804468085
"3"	"STANDING"	"1"	0.278917629056604	-0.0161375901037736	-0.110601817735849	-0.995759901509434	-0.973190056415094	-0.979775876981132	-0.996141353962264	-0.971758757169811	-0.979317499056604	-0.939289253207547	-0.560940620754717	-0.812804122641509	0.848946458679245	0.684994965849057	0.837719699245283	-0.984382640377358	-0.999946745660377	-0.999302946415094	-0.998956617924528	-0.996204860566038	-0.973516449056604	-0.978599930377358	-0.653732516603774	-0.562677675679245	-0.589450454150943	0.297424408301887	-0.145505504188679	0.113641825830189	0.0807014957641509	0.185333378811321	-0.1383467407	0.190322101056604	-0.0157716731830189	0.2798850462	-0.127876725803774	0.116846825947736	-0.10391130370566	0.128398753090566	-0.00543277440754717	0.288310475754717	0.942952000377358	-0.272983832264151	0.0134905823226415	-0.99376298509434	-0.981225957924528	-0.976324063584906	-0.993810088113208	-0.981211152075472	-0.977041427924528	0.870122118867925	-0.288332920943396	0.00970054607320755	0.961168260943396	-0.248024904528302	0.00938141516471698	-0.243890063075472	0.846175155471698	-0.861761176226415	-0.994856861886792	-0.993978435660377	-0.981285212075472	-0.97835670754717	-0.886328097169811	-1	-0.852190776283019	-0.383272814760377	0.404326137754717	-0.425421403641509	0.446657694849057	-0.393991998803774	0.35069500654717	-0.346655733150943	0.359977633	-0.392890944003774	0.408391011128302	-0.423744830150943	0.436448895716981	0.472574716981132	0.13784962990566	0.46985826	0.0753766542264151	0.00797573092830189	-0.00368524954709434	-0.994604542264151	-0.98564873245283	-0.992251177358491
"4"	"WALKING"	"1"	0.277330758736842	-0.0173838185273684	-0.111148103547368	-0.283740258842105	0.114461336747368	-0.260027902210526	-0.340699021263158	0.0618110802884211	-0.2501253216	-0.103124690251158	-0.055729884396	-0.255287708568421	0.119648414553684	-0.0212204448494737	0.437405228105263	-0.125750238755789	-0.73948375368421	-0.758210962947368	-0.747708346105263	-0.424301445368421	-0.299358486210526	-0.252466470458947	0.358565592315789	0.437234196526316	0.0423675045611579	-0.334959369631579	0.348408026326105	-0.149185121450526	0.0799407763368421	-0.167359936813684	0.174964719959684	0.167755468465263	-0.0514467759389474	-0.118901200445263	0.167263728694316	0.00262120183757895	-0.275173843664105	-0.143721904240568	-0.191228477152632	0.380201211578947	0.935223201473684	-0.282165021263158	-0.068102864	-0.976609642526316	-0.971305961473684	-0.947717226105263	-0.976947355052632	-0.971701304631579	-0.949656491052632	0.868920798947368	-0.293611496842105	-0.0628860656842105	0.947006739157895	-0.260094338736842	-0.0784940174105263	-0.141761466323684	0.825961054526316	-0.863780189157895	-0.985550295789474	-0.977571179894737	-0.972578888315789	-0.954925938315789	-0.666553065978947	-1	-0.992509253368421	-0.298046152968421	0.382823886736842	-0.464401395684211	0.542635273052632	0.0308226031347368	0.0225500006989474	-0.147268381928421	0.295757009010526	-0.250876315288421	0.274929707621053	-0.296802273938947	0.314136444565263	0.321422887684211	-0.0400833257557895	0.281260329237895	0.0740416333157895	0.0282721095884211	-0.00416840617789474	-0.113615602435789	0.0670025007684211	-0.502699788526316
"5"	"WALKING_DOWNSTAIRS"	"1"	0.289188320408163	-0.00991850461020408	-0.107566190908163	0.0300353383483878	-0.0319359434489796	-0.230434213204082	-0.0441172244571429	-0.107395631427551	-0.212040083591837	0.388969738367347	-0.095283959644898	-0.316749443930204	0.015681414244898	-0.0437259707591837	0.304574350938775	0.00799898705102041	-0.463124815306122	-0.81285224755102	-0.724291495306122	-0.22478937955102	-0.398996825510204	-0.205787239326531	0.236703360632653	0.37616076122449	0.169733414920408	-0.394878584122449	0.367594986693878	-0.310025981922449	0.276300963816327	-0.121436208734694	0.155332861145102	0.0866824709163265	0.0376716936836735	0.0803750281693878	0.0877777831326531	0.0291598331140816	-0.291398957528571	-0.454243120816327	-0.225544974216327	0.0756845059489796	0.931874418979592	-0.266610338979592	-0.0621199585938775	-0.950559811632653	-0.937018658979592	-0.895939695102041	-0.951425748163265	-0.937871758163265	-0.897914718979592	0.875865664081633	-0.269610437346939	-0.0464827635716327	0.935563321428571	-0.255517232653061	-0.086297714	-0.206320981041224	0.817406767346939	-0.879004752857143	-0.987619062040816	-0.952715699183673	-0.940913804081633	-0.907257556530612	-0.44475912222449	-1	-0.980412705714286	-0.571349235306122	0.630488241836735	-0.688477935510204	0.745318365102041	-0.210337386122449	0.230730429918367	-0.306573348142449	0.403120417755102	-0.204295249612245	0.223435974563265	-0.241356826059184	0.255841586905918	0.229494336061224	-0.297445343530612	0.10130462455102	0.0541553164897959	0.0296504490408163	-0.0109719730183673	-0.012283860544898	-0.101601390640816	-0.345735032326531
"6"	"WALKING_UPSTAIRS"	"1"	0.255461689622641	-0.0239531492643396	-0.0973020020943396	-0.35470802509434	-0.00232026501698113	-0.0194792388471698	-0.402832782264151	0.00767689909056604	0.0359905006150943	-0.159448548560377	-0.102688458301887	-0.160509697286792	0.238182436509434	0.143961002516981	0.441553928867925	-0.0968125932377358	-0.788475894528302	-0.804660188867925	-0.565893159811321	-0.496224403584906	-0.192069977651132	0.0721915195018868	0.431169538301887	0.327277994150943	-0.00647454334471698	-0.524400431509434	0.438563589433962	-0.23977634310566	0.134340677858491	-0.327397149962264	0.226589616607547	0.0400244128867925	0.0367810864660377	-0.468668596037736	0.307595388783019	-0.168581579377358	0.0137816554962264	-0.387362043962264	-0.17700807654717	0.161628109571698	0.89335109754717	-0.362153364339623	-0.075402939754717	-0.956367027924528	-0.952849233207547	-0.912379410377358	-0.958245005283019	-0.953844427358491	-0.915071633773585	0.834566491886792	-0.365260562075472	-0.0611896648566038	0.89811253754717	-0.343993198679245	-0.0944078061132076	0.0141336506698113	0.719342348490566	-0.769715006037736	-0.985300559433962	-0.961927118490566	-0.957150931320755	-0.924294370943396	-0.287523804962264	-1	-1	-0.643691341509434	0.686782270754717	-0.729133136981132	0.770799058113208	-0.496928408830189	0.520389702660377	-0.578771466603774	0.649069533207547	-0.687026630377358	0.700655634528302	-0.713323309433962	0.72201865754717	0.599383946622641	-0.37282872745283	-0.178003749358491	0.101372729922642	0.0194863076188679	-0.0455625449113208	-0.446843887735849	-0.378274426037736	-0.706593530943396
"7"	"LAYING"	"2"	0.281373403958333	-0.0181587397583333	-0.107245610416667	-0.974059464791667	-0.98027739875	-0.984233296875	-0.976606966458333	-0.980963747291667	-0.984844731458333	-0.918792223541667	-0.562922494375	-0.811239590833333	0.821333087083333	0.683942196458333	0.838955082083333	-0.977681890625	-0.998712742291667	-0.999637563333333	-0.999349610625	-0.979970157916667	-0.985124292916667	-0.984509167708333	-0.365240315729167	-0.64894749125	-0.531906502645833	0.0542643544854167	-0.0342332338791667	-0.0110161439029167	0.075290978403125	0.298941607291667	-0.171373589208333	0.2356243049375	-0.0245233714625	0.364322084541667	-0.159101984522917	0.176129899039583	-0.124408564166667	0.0398836408333333	-0.199788468904167	-0.248458834006667	-0.509754238125	0.752536639375	0.646834879583333	-0.959014441458333	-0.988211865208333	-0.984230418125	-0.962074936458333	-0.988574231875	-0.984594021666667	-0.557152069166667	0.70821189375	0.636297803333333	-0.469052540208333	0.764376011041667	0.644932617291667	0.2705147836875	-0.980468403541667	0.147438333125	-0.183892581	-0.968257117291667	-0.98995767625	-0.985215197708333	-0.808533114875	-0.804117193041667	-0.687611357770833	-0.584101340208333	0.592162118125	-0.60006914875	0.607971194166667	-0.208670150229167	0.160945588454167	-0.165059560922917	0.191708345741667	-0.271551733785417	0.289946464827083	-0.308234634202083	0.324092915666667	0.2156080059375	-0.308245417	-0.563200740208333	0.0825972511666667	0.012254788451875	-0.00180264895625	-0.98587216875	-0.98317254125	-0.988442014375
"8"	"SITTING"	"2"	0.27708735173913	-0.0156879937282609	-0.109218272456522	-0.986822279565217	-0.950704499130435	-0.95982817173913	-0.988594493695652	-0.951537807173913	-0.958942750434783	-0.926683676304348	-0.544435806304348	-0.800573029130435	0.83944400826087	0.674028159782609	0.826309457391304	-0.966980349782609	-0.999241644565217	-0.996521418913043	-0.994052473478261	-0.991487382826087	-0.962625605434783	-0.958168110217391	-0.607037765652174	-0.457042084717391	-0.415597585869565	0.274764831152174	-0.1234873796	0.0820047986478261	0.114170112521739	0.176580528906522	-0.12420554726087	0.201417684758696	-0.0445898677	0.191536655108696	-0.100798853813043	0.0377418439130435	-0.0397869970869565	-0.159937674673913	-0.268153719565217	0.256453039862826	0.940477273043478	-0.105630024498783	0.19872676876087	-0.979988760869565	-0.956750273043478	-0.954415873043478	-0.981169301521739	-0.959359287173913	-0.955709075869565	0.870587756956522	-0.114777271347826	0.201170706086957	0.950714034347826	-0.0898988765652174	0.191642851630435	-0.271070080217391	0.840362822826087	-0.978350845652174	-0.90308901173913	-0.985018895869565	-0.967219263695652	-0.960708292608696	-0.866774604673913	-0.949873141086957	-0.522695788478261	-0.410140565108696	0.437457424978261	-0.46491264326087	0.492596717826087	-0.500520531726087	0.475455904069565	-0.483447908776087	0.505593871369565	-0.504226633413044	0.51318526426087	-0.521841446543478	0.527540918978261	-0.269747227326087	-0.486664063652174	0.538687011956522	0.0722564387173913	0.0116954511323913	0.00760546929869565	-0.988055854130435	-0.977983955434783	-0.98751821173913
"9"	"STANDING"	"2"	0.277911472222222	-0.0184208270166667	-0.105908536055556	-0.987271889259259	-0.957304989259259	-0.949741851296296	-0.98934137	-0.957543717037037	-0.94760257	-0.926344519259259	-0.549563718148148	-0.787788226851852	0.833698080925926	0.673386829814815	0.828659836666667	-0.965375535555556	-0.999705046666667	-0.998935624814815	-0.99460706537037	-0.991624249074074	-0.965560857222222	-0.948583715925926	-0.527999633407407	-0.505586968333333	-0.446054261333333	0.247989408574074	-0.0756957018166667	0.0368231465462963	0.0376910751222222	0.0669120089112963	-0.0573481512425926	0.176126990322222	-0.0924881885925926	0.18235955977037	-0.119120139333333	0.128329918990741	-0.138534155481481	0.281888797981481	0.0665274675074074	0.384642653314815	0.896928566851852	-0.370062696851852	0.129747161222222	-0.986685818703704	-0.97419442037037	-0.945927078703704	-0.986895012962963	-0.974806122222222	-0.947922742777778	0.826732693518519	-0.380529980185185	0.129645950037037	0.913570337222222	-0.34605691462963	0.11519525245037	0.158422912481481	0.728349482962963	-0.756286182777778	-0.963757028703704	-0.987721785	-0.977032637222222	-0.955777678148148	-0.757442729779667	-1	-0.453831075105556	-0.370277771888889	0.387816928388889	-0.405454711166667	0.423298317981481	-0.434275034388889	0.393407970003704	-0.389221846551852	0.401313067462963	-0.503979640537037	0.512760935722222	-0.521274890111111	0.526869881592593	0.674947212777778	0.334620620814815	0.611669641011111	0.0747588597592593	0.0103291774794444	-0.00837158846722222	-0.981085715555556	-0.97105943962963	-0.982841446481482
"10"	"WALKING"	"2"	0.276426586440678	-0.0185949199145763	-0.105500357966102	-0.423642838474576	-0.0780912533118644	-0.425257524915254	-0.460983072033898	-0.120172928300508	-0.410145294237288	-0.268557946491525	-0.11402759334678	-0.376478510508475	0.34872297440678	0.051569523229661	0.527792218813559	-0.289223664576271	-0.830698671186441	-0.83328023440678	-0.846830008644068	-0.54042174779661	-0.392230918813559	-0.408763002542373	0.346780219322034	0.38487648120339	0.151969087845763	-0.245924085925424	0.303195506700678	-0.210438884196949	0.105832245038983	-0.170066954830508	0.28822188661017	-0.0588494089322034	0.00732521059067797	-0.17069226760678	0.212181968852542	-0.0552753238779661	-0.112078514561017	-0.264019276711864	-0.0251069135101695	0.368582476440678	0.91301733338983	-0.34660709	0.0847270871186441	-0.972693201355932	-0.972116879661017	-0.972072847627119	-0.973123471694915	-0.972411930847458	-0.972923131186441	0.848431402881356	-0.356341643050847	0.0819139581016949	0.924184268983051	-0.322984228474576	0.0804782855932203	0.00459046757627119	0.76883742220339	-0.791632866101695	-0.980049533898305	-0.973972477966102	-0.973744440169492	-0.975868435423729	-0.420668067966102	-1	-0.432806084220339	-0.399804294050847	0.46546458440678	-0.529027973559322	0.590435445423729	0.0620890544576271	-0.046941288179661	-0.0392011563355932	0.150537117615254	-0.323322676389831	0.373280612711864	-0.421718000067797	0.465972588135593	0.3296419987	-0.241298144779661	-0.0658090309491525	0.0618080696279661	0.0182492679288136	0.00789533706610169	-0.277530462620339	-0.0166022362847458	-0.586090418983051
